ATF	1.0
0	251     
"Trace"	"Search"	"Category"	"State"	"Event Start Time (ms)"	"Event End Time (ms)"	"Baseline (mV)"	"Peak Amp (mV)"	"Time to Peak (ms)"	"Time of Peak (ms)"	"Antipeak Amp (mV)"	"Time to Antipeak (ms)"	"Time of Antipeak (ms)"	"Half-width (ms)"	"Half-amplitude (mV)"	"Time to Rise Half-amplitude (ms)"	"Time to Decay Half-amplitude (ms)"	"Rise Tau (ms)"	"Decay Tau (ms)"	"Max Rise Slope (mV/ms)"	"Time to Max Rise Slope (ms)"	"Max Decay Slope (mV/ms)"	"Time to Max Decay Slope (ms)"	"Rise Slope 10% to 90% (mV/ms)"	"Rise Time 10% to 90% (ms)"	"Decay Slope 90% to 10% (mV/ms)"	"Decay Time 90% to 10% (ms)"	"Area (mV · ms)"	"Inst. Freq. (Hz)"	"Interevent Interval (ms)"	"S.D. of Fit"	"Template Match"	" "	"G1: Midpoint, Cat 1"	"G1: Bin Count, Cat 1"	"G1: Midpoint, Cat 2"	"G1: Bin Count, Cat 2"	"G1: Midpoint, Cat 3"	"G1: Bin Count, Cat 3"	"G1: Midpoint, Cat 4"	"G1: Bin Count, Cat 4"	"G1: Midpoint, Cat 5"	"G1: Bin Count, Cat 5"	"G1: Midpoint, Cat 6"	"G1: Bin Count, Cat 6"	"G1: Midpoint, Cat 7"	"G1: Bin Count, Cat 7"	"G1: Midpoint, Cat 8"	"G1: Bin Count, Cat 8"	"G1: Midpoint, Cat 9"	"G1: Bin Count, Cat 9"	"G2: Midpoint, Cat 1"	"G2: Bin Count, Cat 1"	"G2: Midpoint, Cat 2"	"G2: Bin Count, Cat 2"	"G2: Midpoint, Cat 3"	"G2: Bin Count, Cat 3"	"G2: Midpoint, Cat 4"	"G2: Bin Count, Cat 4"	"G2: Midpoint, Cat 5"	"G2: Bin Count, Cat 5"	"G2: Midpoint, Cat 6"	"G2: Bin Count, Cat 6"	"G2: Midpoint, Cat 7"	"G2: Bin Count, Cat 7"	"G2: Midpoint, Cat 8"	"G2: Bin Count, Cat 8"	"G2: Midpoint, Cat 9"	"G2: Bin Count, Cat 9"	"G3: Midpoint, Cat 1"	"G3: Bin Count, Cat 1"	"G3: Midpoint, Cat 2"	"G3: Bin Count, Cat 2"	"G3: Midpoint, Cat 3"	"G3: Bin Count, Cat 3"	"G3: Midpoint, Cat 4"	"G3: Bin Count, Cat 4"	"G3: Midpoint, Cat 5"	"G3: Bin Count, Cat 5"	"G3: Midpoint, Cat 6"	"G3: Bin Count, Cat 6"	"G3: Midpoint, Cat 7"	"G3: Bin Count, Cat 7"	"G3: Midpoint, Cat 8"	"G3: Bin Count, Cat 8"	"G3: Midpoint, Cat 9"	"G3: Bin Count, Cat 9"	"G4: Midpoint, Cat 1"	"G4: Bin Count, Cat 1"	"G4: Midpoint, Cat 2"	"G4: Bin Count, Cat 2"	"G4: Midpoint, Cat 3"	"G4: Bin Count, Cat 3"	"G4: Midpoint, Cat 4"	"G4: Bin Count, Cat 4"	"G4: Midpoint, Cat 5"	"G4: Bin Count, Cat 5"	"G4: Midpoint, Cat 6"	"G4: Bin Count, Cat 6"	"G4: Midpoint, Cat 7"	"G4: Bin Count, Cat 7"	"G4: Midpoint, Cat 8"	"G4: Bin Count, Cat 8"	"G4: Midpoint, Cat 9"	"G4: Bin Count, Cat 9"	" "	"G1: ScPlot X, Cat 1"	"G1: ScPlot Y, Cat 1"	"G1: ScPlot X, Cat 2"	"G1: ScPlot Y, Cat 2"	"G1: ScPlot X, Cat 3"	"G1: ScPlot Y, Cat 3"	"G1: ScPlot X, Cat 4"	"G1: ScPlot Y, Cat 4"	"G1: ScPlot X, Cat 5"	"G1: ScPlot Y, Cat 5"	"G1: ScPlot X, Cat 6"	"G1: ScPlot Y, Cat 6"	"G1: ScPlot X, Cat 7"	"G1: ScPlot Y, Cat 7"	"G1: ScPlot X, Cat 8"	"G1: ScPlot Y, Cat 8"	"G1: ScPlot X, Cat 9"	"G1: ScPlot Y, Cat 9"	"G2: ScPlot X, Cat 1"	"G2: ScPlot Y, Cat 1"	"G2: ScPlot X, Cat 2"	"G2: ScPlot Y, Cat 2"	"G2: ScPlot X, Cat 3"	"G2: ScPlot Y, Cat 3"	"G2: ScPlot X, Cat 4"	"G2: ScPlot Y, Cat 4"	"G2: ScPlot X, Cat 5"	"G2: ScPlot Y, Cat 5"	"G2: ScPlot X, Cat 6"	"G2: ScPlot Y, Cat 6"	"G2: ScPlot X, Cat 7"	"G2: ScPlot Y, Cat 7"	"G2: ScPlot X, Cat 8"	"G2: ScPlot Y, Cat 8"	"G2: ScPlot X, Cat 9"	"G2: ScPlot Y, Cat 9"	"G3: ScPlot X, Cat 1"	"G3: ScPlot Y, Cat 1"	"G3: ScPlot X, Cat 2"	"G3: ScPlot Y, Cat 2"	"G3: ScPlot X, Cat 3"	"G3: ScPlot Y, Cat 3"	"G3: ScPlot X, Cat 4"	"G3: ScPlot Y, Cat 4"	"G3: ScPlot X, Cat 5"	"G3: ScPlot Y, Cat 5"	"G3: ScPlot X, Cat 6"	"G3: ScPlot Y, Cat 6"	"G3: ScPlot X, Cat 7"	"G3: ScPlot Y, Cat 7"	"G3: ScPlot X, Cat 8"	"G3: ScPlot Y, Cat 8"	"G3: ScPlot X, Cat 9"	"G3: ScPlot Y, Cat 9"	"G4: ScPlot X, Cat 1"	"G4: ScPlot Y, Cat 1"	"G4: ScPlot X, Cat 2"	"G4: ScPlot Y, Cat 2"	"G4: ScPlot X, Cat 3"	"G4: ScPlot Y, Cat 3"	"G4: ScPlot X, Cat 4"	"G4: ScPlot Y, Cat 4"	"G4: ScPlot X, Cat 5"	"G4: ScPlot Y, Cat 5"	"G4: ScPlot X, Cat 6"	"G4: ScPlot Y, Cat 6"	"G4: ScPlot X, Cat 7"	"G4: ScPlot Y, Cat 7"	"G4: ScPlot X, Cat 8"	"G4: ScPlot Y, Cat 8"	"G4: ScPlot X, Cat 9"	"G4: ScPlot Y, Cat 9"	" "	"g1: ScPlot X, Cat 1 (selected)"	"g1: ScPlot Y, Cat 1 (selected)"	"g1: ScPlot X, Cat 2 (selected)"	"g1: ScPlot Y, Cat 2 (selected)"	"g1: ScPlot X, Cat 3 (selected)"	"g1: ScPlot Y, Cat 3 (selected)"	"g1: ScPlot X, Cat 4 (selected)"	"g1: ScPlot Y, Cat 4 (selected)"	"g1: ScPlot X, Cat 5 (selected)"	"g1: ScPlot Y, Cat 5 (selected)"	"g1: ScPlot X, Cat 6 (selected)"	"g1: ScPlot Y, Cat 6 (selected)"	"g1: ScPlot X, Cat 7 (selected)"	"g1: ScPlot Y, Cat 7 (selected)"	"g1: ScPlot X, Cat 8 (selected)"	"g1: ScPlot Y, Cat 8 (selected)"	"g1: ScPlot X, Cat 9 (selected)"	"g1: ScPlot Y, Cat 9 (selected)"	"g2: ScPlot X, Cat 1 (selected)"	"g2: ScPlot Y, Cat 1 (selected)"	"g2: ScPlot X, Cat 2 (selected)"	"g2: ScPlot Y, Cat 2 (selected)"	"g2: ScPlot X, Cat 3 (selected)"	"g2: ScPlot Y, Cat 3 (selected)"	"g2: ScPlot X, Cat 4 (selected)"	"g2: ScPlot Y, Cat 4 (selected)"	"g2: ScPlot X, Cat 5 (selected)"	"g2: ScPlot Y, Cat 5 (selected)"	"g2: ScPlot X, Cat 6 (selected)"	"g2: ScPlot Y, Cat 6 (selected)"	"g2: ScPlot X, Cat 7 (selected)"	"g2: ScPlot Y, Cat 7 (selected)"	"g2: ScPlot X, Cat 8 (selected)"	"g2: ScPlot Y, Cat 8 (selected)"	"g2: ScPlot X, Cat 9 (selected)"	"g2: ScPlot Y, Cat 9 (selected)"	"g3: ScPlot X, Cat 1 (selected)"	"g3: ScPlot Y, Cat 1 (selected)"	"g3: ScPlot X, Cat 2 (selected)"	"g3: ScPlot Y, Cat 2 (selected)"	"g3: ScPlot X, Cat 3 (selected)"	"g3: ScPlot Y, Cat 3 (selected)"	"g3: ScPlot X, Cat 4 (selected)"	"g3: ScPlot Y, Cat 4 (selected)"	"g3: ScPlot X, Cat 5 (selected)"	"g3: ScPlot Y, Cat 5 (selected)"	"g3: ScPlot X, Cat 6 (selected)"	"g3: ScPlot Y, Cat 6 (selected)"	"g3: ScPlot X, Cat 7 (selected)"	"g3: ScPlot Y, Cat 7 (selected)"	"g3: ScPlot X, Cat 8 (selected)"	"g3: ScPlot Y, Cat 8 (selected)"	"g3: ScPlot X, Cat 9 (selected)"	"g3: ScPlot Y, Cat 9 (selected)"	"g4: ScPlot X, Cat 1 (selected)"	"g4: ScPlot Y, Cat 1 (selected)"	"g4: ScPlot X, Cat 2 (selected)"	"g4: ScPlot Y, Cat 2 (selected)"	"g4: ScPlot X, Cat 3 (selected)"	"g4: ScPlot Y, Cat 3 (selected)"	"g4: ScPlot X, Cat 4 (selected)"	"g4: ScPlot Y, Cat 4 (selected)"	"g4: ScPlot X, Cat 5 (selected)"	"g4: ScPlot Y, Cat 5 (selected)"	"g4: ScPlot X, Cat 6 (selected)"	"g4: ScPlot Y, Cat 6 (selected)"	"g4: ScPlot X, Cat 7 (selected)"	"g4: ScPlot Y, Cat 7 (selected)"	"g4: ScPlot X, Cat 8 (selected)"	"g4: ScPlot Y, Cat 8 (selected)"	"g4: ScPlot X, Cat 9 (selected)"	"g4: ScPlot Y, Cat 9 (selected)"
1	1	1	A	1796.300	1813.620	-72.85412	-17.05701	6.320	1802.620	6.20749	13.880	1810.180	1.29208	-8.52850	5.492	6.784	11.74647	0.88012	-110.815	4.030	117.473	4.590	-3.07035	2.25908	6.69522	1.40245	-44.00002	N/A	Not found	N/A	5.16951																																																																																																																																																																																																																											
1	1	1	A	7389.820	7407.140	-74.18107	-13.08728	5.940	7395.760	8.32553	2.860	7392.680	0.68375	-6.54364	5.450	6.134	11.10316	8.77820	-109.494	2.090	124.231	5.810	-1.42726	2.05854	4.81751	0.88629	-50.67335	0.17879	5593.14014	N/A	4.02409																																																																																																																																																																																																																											
1	1	1	A	7390.060	7407.380	-74.25106	-13.01729	5.700	7395.760	8.39553	2.620	7392.680	0.68167	-6.50864	5.212	5.893	1.33726	8.77818	-109.494	1.850	124.231	5.810	-1.42726	2.05779	4.81751	0.88570	-49.95742	N/A	Not found	N/A	4.05483																																																																																																																																																																																																																											
1	1	1	A	7930.960	7948.279	-73.01755	-27.54913	6.040	7937.000	9.64650	0.900	7931.860	3.09952	-13.77456	4.106	7.206	0.88201	2.56026	-116.284	5.970	128.218	1.610	-6.76534	2.60088	2.34708	6.52676	-110.43844	1.84761	541.24023	N/A	8.76580																																																																																																																																																																																																																											
1	1	1	A	8032.860	8050.180	-73.67381	-19.63216	4.940	8037.800	5.05255	1.660	8034.520	2.44688	-9.81608	3.839	6.286	0.66717	10.56051	-79.290	3.850	118.332	11.570	-7.91727	1.64589	2.76737	3.65729	-85.06474	9.92064	100.79990	N/A	6.92291																																																																																																																																																																																																																											
1	1	1	A	8413.400	8430.721	-70.28188	-13.82719	5.100	8418.500	5.94092	1.520	8414.920	0.97219	-6.91359	4.333	5.306	5.35686	11.40531	-85.814	3.370	120.108	9.870	-5.45305	1.68437	0.91348	2.78725	-50.77325	2.62674	380.70016	N/A	5.87282																																																																																																																																																																																																																											
1	1	1	A	8494.320	8511.641	-70.39731	-16.89775	4.420	8498.740	6.00526	15.840	8510.160	0.33526	-8.44888	4.288	4.623	0.17011	3.59638	-107.217	4.370	114.490	7.710	-15.54243	0.63830	2.00182	2.98108	-62.03870	12.46261	80.24001	N/A	5.32316																																																																																																																																																																																																																											
1	1	1	A	8666.620	8683.939	-68.76590	-19.32206	6.360	8672.980	6.18686	12.520	8679.140	0.70652	-9.66103	6.190	6.896	0.56382	13.61186	-118.642	4.290	124.838	0.049	-1.57061	2.72043	1.93741	3.95170	-60.96463	5.73920	174.24033	N/A	6.04029																																																																																																																																																																																																																											
1	1	1	A	11581.000	11598.319	-71.21352	-11.83267	5.440	11586.440	6.78417	10.940	11591.940	0.61085	-5.91633	5.363	5.974	0.28616	2.95924	-117.695	5.370	111.642	3.569	-3.23832	1.44894	1.07925	3.55777	-27.14088	0.34323	2913.45996	N/A	4.52513																																																																																																																																																																																																																											
1	1	1	A	11581.900	11599.221	-71.23129	-11.81491	4.540	11586.440	7.02125	16.520	11598.420	0.61056	-5.90746	4.463	5.073	0.28616	2.95924	-117.695	4.470	116.341	11.930	-3.23832	1.44867	1.07925	3.55763	-29.40351	9142857.00000	0.00011	N/A	4.04791																																																																																																																																																																																																																											
1	1	1	A	13454.620	13471.939	-70.99965	-24.60901	5.820	13460.440	6.25168	1.080	13455.700	2.89186	-12.30451	3.981	6.873	1.12289	2.23747	-91.633	3.830	134.502	10.629	-7.11636	2.36560	2.53509	4.98424	-108.78105	0.53362	1873.99988	N/A	8.63903																																																																																																																																																																																																																											
1	1	1	A	15549.000	15566.319	-66.06675	-13.51539	5.300	15554.300	5.92764	14.380	15563.380	0.16414	-6.75769	5.209	5.373	0.27684	0.99561	-112.630	5.250	116.135	0.030	-1.05940	1.47127	0.87084	2.87832	-46.51890	0.47759	2093.85938	N/A	5.39486																																																																																																																																																																																																																											
1	1	1	A	20614.520	20631.840	-73.11922	-42.47806	5.281	20619.801	8.12172	0.980	20615.500	4.17211	-21.23903	3.612	7.784	1.00659	3.37733	-121.356	3.330	115.340	2.510	-12.54270	2.15105	5.20055	6.48770	-205.23943	0.19741	5065.50098	N/A	9.26251																																																																																																																																																																																																																											
1	1	1	A	20854.160	20871.482	-68.78105	-22.75334	5.439	20859.600	7.06291	0.320	20854.480	2.63396	-11.37667	3.998	6.632	0.56183	4.19529	-111.925	1.811	126.866	9.930	-7.71325	1.78054	2.83729	5.68184	-100.33065	4.17016	239.79890	N/A	8.97653																																																																																																																																																																																																																											
1	1	1	A	21091.680	21109.000	-72.19344	-27.18797	5.400	21097.080	7.95920	1.701	21093.381	2.98517	-13.59399	3.911	6.896	0.46553	3.98329	-73.442	4.090	104.074	0.250	-7.29988	1.86322	2.14015	6.84409	-112.27734	4.21088	237.48024	N/A	7.80046																																																																																																																																																																																																																											
1	1	1	A	23772.400	23789.719	-71.23092	-25.34565	5.799	23778.199	3.46197	3.340	23775.740	2.05547	-12.67282	4.409	6.465	0.36909	4.21792	-146.405	5.750	112.339	0.051	-5.12644	1.94003	3.24746	4.21294	-100.77867	0.37298	2681.11938	N/A	8.39629																																																																																																																																																																																																																											
1	1	1	A	25694.020	25711.340	-73.90668	-20.65250	6.961	25700.980	7.02730	15.520	25709.539	3.74455	-10.32625	4.078	7.823	0.49954	3.97151	-105.712	3.051	165.455	9.670	-2.93783	3.28384	1.96688	2.97091	-93.26646	0.52008	1922.78113	N/A	7.63349																																																																																																																																																																																																																											
1	1	1	A	26194.980	26212.299	-71.34690	-17.28897	5.520	26200.500	7.01512	1.939	26196.920	1.87500	-8.64448	4.879	6.754	0.65061	21.88458	-122.496	1.770	131.353	5.391	-5.22733	1.57042	2.59303	3.46255	-50.21869	2.00192	499.51959	N/A	6.53759																																																																																																																																																																																																																											
1	1	1	A	26744.539	26761.859	-71.84816	-12.90263	4.781	26749.320	5.79340	0.000	26744.539	0.44580	-6.45132	4.583	5.029	1.00254	4.02090	-88.074	4.031	115.419	1.650	-4.22742	1.08917	1.00399	1.63438	-35.33309	1.82209	548.82031	N/A	4.78908																																																																																																																																																																																																																											
1	1	1	A	29153.760	29171.082	-71.62736	-36.89114	5.381	29159.141	6.52163	1.221	29154.980	3.44690	-18.44557	3.924	7.371	0.35623	3.77682	-126.508	3.350	106.558	9.949	-13.99107	1.68395	4.23134	6.97279	-166.67575	0.41497	2409.82056	N/A	11.44404																																																																																																																																																																																																																											
1	1	1	A	29578.080	29595.402	-70.48528	-15.64786	6.221	29584.301	8.14804	2.500	29580.580	0.68318	-7.82393	5.847	6.531	0.75464	2.02815	-149.443	0.770	141.767	7.209	-2.09180	2.53958	1.21604	2.01945	-51.49115	2.35206	425.15994	N/A	5.58646																																																																																																																																																																																																																											
1	1	1	A	34241.219	34258.539	-72.93918	-21.90291	5.582	34246.801	6.62382	12.941	34254.160	3.41359	-10.95146	4.129	7.542	0.37208	3.72324	-111.141	4.150	128.506	6.510	-6.05206	1.82395	3.70212	3.23520	-82.41496	0.21448	4662.50000	N/A	7.26226																																																																																																																																																																																																																											
1	1	1	A	35715.180	35732.500	-69.74639	-19.56378	5.441	35720.621	5.71480	2.461	35717.641	3.40519	-9.78189	4.043	7.448	0.52954	10.58317	-97.830	3.549	124.653	8.869	-5.18995	1.84263	2.87576	4.17717	-84.52235	0.67851	1473.81982	N/A	8.00213																																																																																																																																																																																																																											
1	1	1	A	36748.801	36766.125	-69.49028	-22.34474	5.641	36754.441	6.14257	15.918	36764.719	2.86154	-11.17237	4.261	7.123	0.43310	39.41879	-110.885	3.869	103.399	11.607	-6.96678	1.69371	4.37385	3.45595	-68.85700	0.96729	1033.82068	N/A	9.00112																																																																																																																																																																																																																											
1	1	1	A	37235.762	37253.078	-72.19706	-24.31388	5.238	37241.000	7.30745	1.840	37237.602	3.22402	-12.15694	4.011	7.235	0.63566	10.47906	-108.489	4.029	114.807	7.510	-9.53867	1.65686	1.92023	6.11841	-126.53232	2.05525	486.55817	N/A	7.37603																																																																																																																																																																																																																											
1	1	1	A	41606.480	41623.801	-70.82915	-10.31092	5.840	41612.320	5.79409	1.098	41607.578	0.57656	-5.15546	5.478	6.055	4.96836	1.56977	-108.855	1.150	103.970	3.791	-2.84891	1.57072	70.67198	0.12844	-32.42712	0.22876	4371.32080	N/A	4.32946																																																																																																																																																																																																																											
1	1	1	A	41677.461	41694.785	-72.89767	-17.37926	6.020	41683.480	5.53908	16.840	41694.301	0.63141	-8.68963	5.888	6.519	1.09147	2.17193	-91.881	5.928	98.436	7.068	-2.62342	2.64861	2.75499	1.93186	-62.86746	14.05280	71.16019	N/A	6.06669																																																																																																																																																																																																																											
1	1	1	A	42217.500	42234.820	-69.34109	-16.20897	6.141	42223.641	5.64803	2.020	42219.520	0.74019	-8.10448	5.747	6.487	1.34629	2.47782	-96.604	3.568	125.903	7.510	-2.39090	2.94807	2.18488	3.44711	-72.62592	1.85130	540.16010	N/A	5.86414																																																																																																																																																																																																																											
1	1	1	A	43938.898	43956.219	-72.88486	-10.56027	7.363	43946.262	4.48414	2.941	43941.840	0.48996	-5.28014	7.272	7.762	0.22388	1.85626	-120.898	7.271	109.209	0.588	-107.49414	0.08217	0.65258	2.17268	-46.91261	0.58051	1722.62122	N/A	4.12868																																																																																																																																																																																																																											
